month,handgun,prepawn_handgun,redemption_handgun,returned_handgun,rentals_handgun,private_sale_handgun,return_to_seller_handgun
2018-03,10050.0,19.0,1417.0,0.0,0.0,32.0,1.0
2018-03,3080.0,7.0,223.0,25.0,0.0,24.0,0.0
2018-03,16991.0,8.0,1625.0,155.0,0.0,35.0,1.0
2018-03,8523.0,14.0,1280.0,0.0,0.0,21.0,2.0
2018-03,47425.0,0.0,675.0,0.0,0.0,0.0,0.0
2018-03,24811.0,0.0,0.0,298.0,0.0,0.0,0.0
2018-03,6906.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03,2385.0,0.0,21.0,58.0,0.0,85.0,2.0
2018-03,93.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03,64230.0,10.0,3694.0,501.0,0.0,24.0,0.0
2018-03,19849.0,20.0,2222.0,0.0,0.0,64.0,0.0
2018-03,78.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2018-03,5386.0,4.0,434.0,45.0,0.0,12.0,0.0
2018-03,32326.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03,28224.0,8.0,442.0,26.0,0.0,82.0,1.0
2018-03,177.0,0.0,2.0,31.0,0.0,0.0,0.0
2018-03,8400.0,3.0,676.0,23.0,0.0,18.0,0.0
2018-03,14642.0,26.0,2004.0,12.0,0.0,31.0,0.0
2018-03,13831.0,13.0,1197.0,0.0,0.0,31.0,1.0
2018-03,4640.0,0.0,100.0,19.0,0.0,25.0,3.0
2018-03,14.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03,6360.0,3.0,98.0,64.0,0.0,0.0,0.0
2018-03,6636.0,0.0,4.0,4.0,0.0,53.0,2.0
2018-03,17166.0,1.0,11.0,97.0,0.0,72.0,3.0
2018-03,7583.0,1.0,155.0,21.0,0.0,25.0,0.0
2018-03,12054.0,20.0,1770.0,0.0,0.0,26.0,1.0
2018-03,27559.0,17.0,1574.0,210.0,0.0,123.0,2.0
2018-03,3992.0,4.0,508.0,24.0,0.0,11.0,0.0
2018-03,162.0,0.0,10.0,11.0,0.0,0.0,0.0
2018-03,6427.0,0.0,375.0,0.0,0.0,0.0,0.0
2018-03,7132.0,0.0,0.0,66.0,0.0,0.0,0.0
2018-03,5178.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03,8110.0,5.0,554.0,45.0,0.0,22.0,0.0
2018-03,11578.0,0.0,85.0,31.0,4.0,473.0,12.0
