month,long_gun,prepawn_long_gun,redemption_long_gun,returned_long_gun,rentals_long_gun,private_sale_long_gun,return_to_seller_long_gun
2018-03,7695.0,19.0,1174.0,0.0,0.0,25.0,0.0
2018-03,3276.0,2.0,182.0,14.0,0.0,25.0,0.0
2018-03,10611.0,8.0,873.0,7.0,0.0,23.0,3.0
2018-03,7017.0,14.0,1747.0,0.0,0.0,14.0,2.0
2018-03,32189.0,0.0,405.0,0.0,0.0,0.0,0.0
2018-03,17741.0,0.0,0.0,46.0,0.0,0.0,0.0
2018-03,2977.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03,2282.0,1.0,24.0,0.0,0.0,45.0,1.0
2018-03,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03,30487.0,2.0,1461.0,62.0,0.0,15.0,0.0
2018-03,10901.0,17.0,1618.0,0.0,0.0,37.0,2.0
2018-03,50.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03,0.0,0.0,0.0,2.0,0.0,0.0,0.0
2018-03,5788.0,11.0,617.0,4.0,0.0,19.0,0.0
2018-03,17008.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03,16982.0,12.0,578.0,1.0,0.0,60.0,3.0
2018-03,3585.0,1.0,68.0,8.0,0.0,15.0,0.0
2018-03,6921.0,7.0,432.0,7.0,0.0,8.0,0.0
2018-03,10303.0,34.0,1884.0,8.0,0.0,33.0,2.0
2018-03,8906.0,10.0,950.0,0.0,0.0,36.0,0.0
2018-03,3947.0,2.0,128.0,5.0,0.0,10.0,1.0
2018-03,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03,7182.0,1.0,160.0,24.0,0.0,27.0,0.0
2018-03,3974.0,0.0,5.0,0.0,0.0,38.0,1.0
2018-03,12721.0,5.0,307.0,10.0,0.0,125.0,2.0
2018-03,11538.0,2.0,395.0,8.0,0.0,20.0,1.0
2018-03,7132.0,12.0,1457.0,0.0,0.0,16.0,1.0
2018-03,21245.0,7.0,1354.0,27.0,0.0,86.0,2.0
2018-03,5369.0,5.0,855.0,4.0,0.0,15.0,5.0
2018-03,2411.0,2.0,55.0,3.0,0.0,9.0,0.0
2018-03,3625.0,0.0,190.0,0.0,0.0,0.0,0.0
2018-03,4245.0,0.0,11.0,12.0,0.0,16.0,0.0
2018-03,4758.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03,6046.0,4.0,695.0,0.0,0.0,9.0,0.0
2018-03,17006.0,3.0,49.0,59.0,3.0,457.0,13.0
2018-03,16114.0,19.0,2360.0,0.0,8.0,51.0,4.0
2018-03,3201.0,2.0,140.0,0.0,0.0,18.0,0.0
2018-03,24477.0,17.0,970.0,14.0,0.0,39.0,1.0
2018-03,12018.0,13.0,1969.0,0.0,0.0,77.0,5.0
2018-03,15464.0,0.0,0.0,55.0,0.0,0.0,0.0
2018-03,19867.0,0.0,0.0,110.0,0.0,0.0,0.0
2018-03,182.0,1.0,2.0,0.0,0.0,1.0,0.0
2018-03,1261.0,0.0,4.0,3.0,0.0,9.0,0.0
2018-03,7673.0,4.0,774.0,13.0,0.0,16.0,0.0
2018-03,4408.0,1.0,212.0,0.0,0.0,14.0,0.0
2018-03,19418.0,0.0,0.0,6.0,0.0,0.0,0.0
2018-03,38853.0,52.0,5009.0,8.0,0.0,96.0,6.0
2018-03,5296.0,4.0,389.0,54.0,0.0,0.0,0.0
2018-03,2713.0,0.0,5.0,0.0,0.0,3.0,0.0
2018-03,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03,19180.0,0.0,0.0,11.0,0.0,0.0,0.0
2018-03,15774.0,19.0,1292.0,136.0,0.0,913.0,19.0
2018-03,8325.0,22.0,1469.0,0.0,0.0,34.0,1.0
2018-03,18290.0,1.0,318.0,28.0,0.0,43.0,0.0
2018-03,2536.0,4.0,198.0,0.0,0.0,16.0,0.0
2018-02,7172.0,15.0,1502.0,0.0,0.0,39.0,1.0
2018-02,1948.0,1.0,191.0,19.0,0.0,5.0,0.0
2018-02,9058.0,15.0,961.0,6.0,0.0,18.0,2.0
2018-02,6405.0,18.0,2114.0,0.0,0.0,33.0,0.0
2018-02,24768.0,0.0,545.0,0.0,0.0,0.0,0.0
2018-02,13985.0,0.0,0.0,49.0,0.0,0.0,0.0
2018-02,2269.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02,1579.0,2.0,30.0,0.0,0.0,35.0,0.0
2018-02,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02,26441.0,6.0,1677.0,74.0,0.0,13.0,0.0
2018-02,9410.0,21.0,1940.0,0.0,0.0,31.0,2.0
2018-02,33.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02,0.0,0.0,0.0,2.0,0.0,0.0,0.0
2018-02,4300.0,12.0,700.0,13.0,0.0,16.0,0.0
2018-02,12938.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02,13516.0,12.0,761.0,0.0,0.0,25.0,1.0
2018-02,2587.0,2.0,69.0,4.0,0.0,8.0,0.0
2018-02,5818.0,9.0,522.0,7.0,0.0,19.0,0.0
2018-02,9302.0,18.0,2497.0,3.0,0.0,36.0,1.0
2018-02,7865.0,22.0,1175.0,0.0,0.0,38.0,1.0
2018-02,2797.0,2.0,160.0,8.0,0.0,5.0,1.0
2018-02,9.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02,5496.0,1.0,229.0,23.0,0.0,18.0,3.0
2018-02,3035.0,0.0,7.0,1.0,0.0,29.0,1.0
2018-02,9602.0,10.0,351.0,21.0,0.0,73.0,0.0
2018-02,7148.0,2.0,419.0,8.0,0.0,17.0,0.0
2018-02,6516.0,14.0,1746.0,0.0,0.0,12.0,0.0
2018-02,17167.0,18.0,1744.0,21.0,0.0,96.0,1.0
2018-02,3401.0,5.0,982.0,19.0,0.0,11.0,3.0
2018-02,1973.0,0.0,83.0,3.0,0.0,10.0,0.0
2018-02,2898.0,0.0,166.0,0.0,0.0,0.0,0.0
2018-02,3076.0,1.0,13.0,1.0,0.0,4.0,0.0
2018-02,3646.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02,4985.0,10.0,760.0,0.0,0.0,10.0,0.0
2018-02,13742.0,4.0,29.0,55.0,3.0,321.0,3.0
2018-02,13498.0,20.0,2802.0,0.0,3.0,29.0,0.0
2018-02,2220.0,4.0,138.0,0.0,0.0,16.0,0.0
2018-02,19698.0,12.0,1178.0,12.0,0.0,38.0,1.0
2018-02,10146.0,29.0,2175.0,0.0,0.0,74.0,3.0
2018-02,11370.0,0.0,0.0,47.0,0.0,0.0,0.0
2018-02,14849.0,0.0,0.0,93.0,0.0,0.0,0.0
2018-02,152.0,0.0,1.0,0.0,0.0,0.0,0.0
2018-02,886.0,0.0,3.0,1.0,0.0,10.0,0.0
2018-02,6512.0,12.0,937.0,135.0,0.0,15.0,0.0
2018-02,3476.0,1.0,255.0,0.0,0.0,13.0,0.0
2018-02,16929.0,0.0,0.0,7.0,0.0,0.0,0.0
2018-02,35889.0,44.0,5971.0,5.0,0.0,92.0,2.0
2018-02,4055.0,1.0,478.0,38.0,0.0,0.0,0.0
2018-02,1708.0,0.0,2.0,0.0,0.0,4.0,0.0
2018-02,8.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02,15770.0,0.0,0.0,14.0,0.0,0.0,0.0
2018-02,11842.0,12.0,1391.0,129.0,0.0,708.0,9.0
2018-02,6582.0,27.0,1976.0,0.0,0.0,29.0,0.0
2018-02,11979.0,1.0,328.0,37.0,0.0,21.0,0.0
2018-02,1916.0,9.0,272.0,0.0,0.0,7.0,1.0
2018-01,6199.0,12.0,954.0,0.0,0.0,34.0,1.0
2018-01,1621.0,0.0,124.0,15.0,0.0,20.0,0.0
2018-01,6992.0,5.0,679.0,7.0,0.0,14.0,1.0
2018-01,5061.0,6.0,1181.0,0.0,0.0,13.0,0.0
2018-01,22919.0,0.0,366.0,0.0,0.0,0.0,0.0
2018-01,12153.0,0.0,0.0,42.0,0.0,0.0,0.0
2018-01,1829.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01,1224.0,0.0,24.0,0.0,0.0,41.0,1.0
2018-01,4.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01,20690.0,4.0,1096.0,47.0,0.0,11.0,0.0
2018-01,7309.0,13.0,1087.0,0.0,0.0,18.0,1.0
2018-01,43.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01,0.0,0.0,0.0,3.0,0.0,0.0,0.0
2018-01,3270.0,7.0,395.0,18.0,0.0,15.0,1.0
2018-01,9850.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01,10258.0,8.0,396.0,1.0,0.0,31.0,1.0
2018-01,2004.0,0.0,50.0,16.0,0.0,13.0,0.0
2018-01,4814.0,6.0,306.0,5.0,0.0,12.0,0.0
2018-01,5736.0,14.0,1185.0,6.0,0.0,25.0,0.0
2018-01,7747.0,4.0,727.0,0.0,0.0,25.0,2.0
2018-01,1926.0,0.0,107.0,11.0,0.0,2.0,1.0
2018-01,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01,4405.0,3.0,139.0,31.0,0.0,16.0,1.0
2018-01,2468.0,0.0,2.0,0.0,0.0,51.0,1.0
2018-01,6395.0,3.0,207.0,19.0,0.0,32.0,1.0
2018-01,4952.0,2.0,281.0,8.0,0.0,12.0,1.0
2018-01,5310.0,15.0,1022.0,0.0,0.0,9.0,0.0
2018-01,12403.0,8.0,861.0,21.0,0.0,71.0,1.0
2018-01,2749.0,4.0,649.0,3.0,0.0,16.0,2.0
2018-01,1717.0,0.0,48.0,2.0,0.0,8.0,0.0
2018-01,2217.0,0.0,136.0,0.0,0.0,0.0,0.0
2018-01,2352.0,0.0,8.0,0.0,0.0,8.0,0.0
2018-01,3491.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01,3801.0,6.0,508.0,0.0,0.0,12.0,0.0
2018-01,10156.0,0.0,38.0,50.0,2.0,301.0,10.0
2018-01,9931.0,13.0,1600.0,0.0,7.0,32.0,3.0
2018-01,1914.0,1.0,77.0,0.0,0.0,14.0,0.0
2018-01,12521.0,6.0,598.0,9.0,0.0,25.0,1.0
2018-01,8351.0,20.0,1383.0,0.0,0.0,49.0,1.0
2018-01,8976.0,0.0,0.0,65.0,0.0,0.0,0.0
2018-01,10242.0,0.0,0.0,102.0,0.0,0.0,0.0
2018-01,168.0,2.0,4.0,0.0,0.0,0.0,1.0
2018-01,618.0,0.0,1.0,1.0,0.0,4.0,1.0
2018-01,5151.0,5.0,515.0,4.0,0.0,8.0,2.0
2018-01,2799.0,2.0,184.0,0.0,0.0,7.0,0.0
2018-01,12372.0,0.0,0.0,5.0,0.0,0.0,0.0
2018-01,29960.0,32.0,3729.0,4.0,0.0,68.0,2.0
2018-01,3135.0,3.0,294.0,37.0,0.0,0.0,0.0
2018-01,1000.0,1.0,0.0,0.0,0.0,2.0,0.0
2018-01,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01,12248.0,0.0,0.0,5.0,0.0,0.0,0.0
2018-01,9811.0,14.0,878.0,113.0,0.0,666.0,9.0
2018-01,4452.0,23.0,982.0,0.0,0.0,28.0,1.0
2018-01,8337.0,4.0,176.0,29.0,0.0,35.0,0.0
2018-01,1534.0,4.0,184.0,0.0,0.0,9.0,3.0
2017-12,15765.0,12.0,1189.0,0.0,0.0,29.0,0.0
2017-12,3524.0,6.0,123.0,30.0,0.0,27.0,0.0
2017-12,12840.0,7.0,721.0,5.0,0.0,25.0,1.0
2017-12,13104.0,10.0,1380.0,0.0,0.0,32.0,0.0
2017-12,35240.0,0.0,364.0,0.0,0.0,0.0,0.0
2017-12,21168.0,0.0,0.0,42.0,0.0,0.0,0.0
2017-12,2630.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12,2473.0,2.0,13.0,0.0,0.0,35.0,0.0
2017-12,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12,37127.0,7.0,1194.0,37.0,0.0,16.0,0.0
2017-12,20162.0,22.0,1292.0,0.0,0.0,55.0,3.0
2017-12,68.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2017-12,7393.0,2.0,446.0,16.0,0.0,11.0,1.0
2017-12,15126.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12,19906.0,15.0,485.0,0.0,0.0,30.0,2.0
2017-12,4678.0,0.0,57.0,3.0,0.0,5.0,0.0
2017-12,10222.0,6.0,385.0,4.0,0.0,16.0,0.0
2017-12,16102.0,19.0,1434.0,9.0,0.0,29.0,2.0
2017-12,20448.0,12.0,912.0,0.0,0.0,43.0,1.0
2017-12,4336.0,1.0,85.0,8.0,0.0,6.0,1.0
2017-12,8.0,0.0,0.0,0.0,0.0,0.0,0.0
