month,other,prepawn_other,redemption_other,returned_other,private_sale_other,return_to_seller_other
2018-03,469.0,0.0,4.0,0.0,1.0,0.0
2018-03,458.0,0.0,0.0,0.0,4.0,0.0
2018-03,1984.0,1.0,8.0,0.0,3.0,0.0
2018-03,551.0,1.0,2.0,0.0,4.0,0.0
2018-03,4802.0,0.0,18.0,0.0,0.0,0.0
2018-03,2381.0,0.0,0.0,0.0,0.0,0.0
2018-03,665.0,0.0,0.0,0.0,0.0,0.0
2018-03,527.0,3.0,6.0,0.0,7.0,0.0
2018-03,0.0,0.0,0.0,0.0,0.0,0.0
2018-03,6732.0,2.0,10.0,1.0,0.0,0.0
2018-03,959.0,1.0,14.0,0.0,6.0,0.0
2018-03,12.0,0.0,0.0,0.0,0.0,0.0
2018-03,0.0,0.0,0.0,0.0,0.0,0.0
2018-03,611.0,1.0,0.0,0.0,2.0,0.0
2018-03,0.0,0.0,0.0,0.0,0.0,0.0
2018-03,2950.0,4.0,35.0,0.0,23.0,1.0
2018-03,73.0,0.0,0.0,0.0,0.0,0.0
2018-03,965.0,1.0,13.0,1.0,2.0,0.0
2018-03,818.0,1.0,2.0,0.0,6.0,1.0
2018-03,1336.0,0.0,4.0,0.0,6.0,0.0
2018-03,655.0,0.0,1.0,0.0,8.0,0.0
2018-03,3.0,0.0,0.0,0.0,0.0,0.0
2018-03,206.0,0.0,4.0,0.0,5.0,0.0
2018-03,640.0,1.0,0.0,0.0,18.0,0.0
2018-03,1305.0,1.0,5.0,0.0,10.0,0.0
2018-03,1040.0,2.0,4.0,0.0,2.0,0.0
2018-03,608.0,2.0,3.0,0.0,2.0,0.0
2018-03,3069.0,5.0,7.0,17.0,19.0,1.0
2018-03,420.0,1.0,2.0,4.0,0.0,0.0
2018-03,50.0,0.0,2.0,0.0,0.0,0.0
2018-03,531.0,0.0,1.0,0.0,0.0,0.0
2018-03,370.0,0.0,1.0,2.0,0.0,0.0
2018-03,259.0,0.0,0.0,0.0,0.0,0.0
2018-03,837.0,1.0,0.0,0.0,1.0,0.0
2018-03,2533.0,3.0,10.0,3.0,40.0,0.0
2018-03,1705.0,4.0,23.0,0.0,6.0,0.0
2018-03,224.0,0.0,4.0,0.0,3.0,0.0
2018-03,3483.0,2.0,8.0,0.0,9.0,0.0
2018-03,2117.0,0.0,20.0,0.0,16.0,1.0
2018-03,0.0,0.0,0.0,6.0,0.0,0.0
2018-03,53.0,0.0,0.0,0.0,0.0,0.0
2018-03,131.0,0.0,0.0,0.0,0.0,0.0
2018-03,327.0,1.0,0.0,22.0,2.0,0.0
2018-03,1113.0,0.0,2.0,2.0,4.0,0.0
2018-03,348.0,0.0,2.0,0.0,2.0,0.0
2018-03,1997.0,0.0,0.0,9.0,0.0,0.0
2018-03,5634.0,3.0,42.0,0.0,15.0,0.0
2018-03,601.0,1.0,1.0,29.0,0.0,0.0
2018-03,440.0,0.0,3.0,0.0,2.0,0.0
2018-03,0.0,0.0,0.0,0.0,0.0,0.0
2018-03,4820.0,0.0,0.0,1.0,0.0,0.0
2018-03,3491.0,5.0,12.0,17.0,91.0,0.0
2018-03,701.0,0.0,9.0,3.0,3.0,0.0
2018-03,1936.0,12.0,13.0,3.0,0.0,0.0
2018-03,252.0,1.0,4.0,0.0,1.0,0.0
2018-02,353.0,0.0,4.0,0.0,4.0,2.0
2018-02,268.0,0.0,0.0,0.0,6.0,0.0
2018-02,1341.0,1.0,9.0,0.0,5.0,0.0
2018-02,338.0,0.0,3.0,0.0,3.0,0.0
2018-02,3940.0,0.0,33.0,0.0,0.0,0.0
2018-02,1701.0,0.0,0.0,9.0,0.0,0.0
