,permit,permit_recheck,handgun,long_gun,other,multiple,admin,prepawn_handgun,prepawn_long_gun,prepawn_other,redemption_handgun,redemption_long_gun,redemption_other,returned_handgun,returned_long_gun,returned_other,rentals_handgun,rentals_long_gun,private_sale_handgun,private_sale_long_gun,private_sale_other,return_to_seller_handgun,return_to_seller_long_gun,return_to_seller_other,totals
0,1047107.0,202807.0,781452.0,540979.0,68192.0,26890,3082.0,386.0,340.0,60.0,39265.0,32785.0,299.0,3634.0,749.0,120.0,11.0,11.0,2750.0,2513.0,323.0,47.0,75.0,4.0,2753881
1,890756.0,130675.0,661699.0,434373.0,46931.0,26554,3865.0,417.0,392.0,38.0,49466.0,39280.0,219.0,3106.0,855.0,100.0,12.0,6.0,2353.0,1978.0,225.0,31.0,36.0,6.0,2293373
2,914077.0,127178.0,501638.0,337597.0,35971.0,15732,1546.0,315.0,250.0,33.0,30780.0,23181.0,156.0,3306.0,679.0,91.0,18.0,9.0,2154.0,1757.0,162.0,36.0,50.0,5.0,1996721
3,844914.0,109311.0,784267.0,697785.0,46261.0,23455,444.0,372.0,309.0,40.0,33442.0,26473.0,199.0,2618.0,721.0,71.0,6.0,7.0,2430.0,2084.0,178.0,43.0,42.0,14.0,2575486
4,820971.0,94814.0,680029.0,635407.0,39297.0,24403,375.0,377.0,367.0,27.0,33929.0,34669.0,160.0,2868.0,722.0,61.0,10.0,12.0,2102.0,2004.0,164.0,44.0,70.0,6.0,2372888
5,805954.0,78998.0,519980.0,480203.0,37445.0,18920,336.0,317.0,336.0,33.0,33304.0,32904.0,161.0,3070.0,750.0,80.0,14.0,12.0,2017.0,1928.0,164.0,41.0,45.0,5.0,2017017
6,761622.0,76567.0,478082.0,417305.0,26924.0,17638,337.0,320.0,287.0,24.0,38041.0,32967.0,150.0,2491.0,545.0,45.0,15.0,10.0,1877.0,1740.0,138.0,38.0,55.0,8.0,1857226
7,789993.0,85237.0,507489.0,396950.0,27631.0,18261,564.0,213.0,197.0,11.0,34600.0,27932.0,130.0,2865.0,617.0,67.0,7.0,4.0,1824.0,1645.0,119.0,44.0,45.0,12.0,1896457
8,754920.0,71040.0,480124.0,322264.0,26898.0,15721,865.0,226.0,170.0,13.0,31136.0,23651.0,134.0,2442.0,546.0,73.0,5.0,2.0,1681.0,1215.0,104.0,35.0,35.0,8.0,1733308
9,800655.0,71398.0,569149.0,331152.0,29730.0,17076,512.0,212.0,187.0,11.0,35253.0,25813.0,149.0,2726.0,626.0,70.0,1.0,4.0,1884.0,1422.0,133.0,46.0,39.0,18.0,1888266
10,830963.0,79404.0,552018.0,328157.0,29372.0,16969,604.0,228.0,169.0,25.0,30273.0,23655.0,157.0,2749.0,675.0,90.0,5.0,1.0,1856.0,1264.0,105.0,39.0,43.0,19.0,1898840
11,837426.0,88158.0,623448.0,376484.0,32577.0,18813,370.0,214.0,185.0,63.0,28757.0,23661.0,149.0,2426.0,593.0,72.0,2.0,12.0,2019.0,1522.0,120.0,42.0,53.0,14.0,2037180
12,945715.0,120105.0,751866.0,461273.0,38684.0,22396,514.0,275.0,245.0,14.0,38310.0,34909.0,197.0,2888.0,616.0,95.0,2.0,6.0,2535.0,1841.0,155.0,46.0,44.0,18.0,2422749
13,836331.0,89855.0,717930.0,421678.0,33386.0,26698,455.0,279.0,254.0,24.0,48438.0,41825.0,198.0,2509.0,572.0,90.0,4.0,4.0,2019.0,1578.0,149.0,41.0,58.0,19.0,2224394
14,912220.0,81523.0,562597.0,366099.0,31788.0,15817,267.0,200.0,200.0,8.0,30010.0,24934.0,291.0,2669.0,594.0,66.0,11.0,7.0,1532.0,1085.0,129.0,30.0,26.0,5.0,2032108
15,842154.0,75114.0,844966.0,795473.0,111710.0,23543,332.0,195.0,189.0,16.0,34000.0,30078.0,269.0,2198.0,496.0,69.0,1.0,3.0,1187.0,966.0,110.0,20.0,21.0,5.0,2763115
16,803158.0,88990.0,748430.0,745659.0,65418.0,25369,301.0,200.0,220.0,15.0,33148.0,38326.0,280.0,2265.0,579.0,41.0,6.0,7.0,1029.0,917.0,94.0,10.0,16.0,8.0,2554486
17,858875.0,103528.0,634504.0,576371.0,56125.0,22101,260.0,229.0,243.0,18.0,33421.0,35551.0,310.0,2193.0,554.0,56.0,5.0,5.0,1139.0,900.0,81.0,13.0,27.0,8.0,2326517
18,744512.0,82123.0,533709.0,486524.0,40501.0,19800,217.0,234.0,233.0,23.0,36088.0,34842.0,255.0,2156.0,579.0,63.0,3.0,5.0,934.0,712.0,42.0,15.0,17.0,9.0,1983596
19,542822.0,81977.0,611575.0,471095.0,41026.0,20452,288.0,207.0,200.0,13.0,32284.0,29558.0,263.0,2513.0,631.0,98.0,1.0,1.0,849.0,760.0,101.0,39.0,28.0,7.0,1836788
20,950653.0,25806.0,628725.0,440345.0,53334.0,21420,230.0,217.0,194.0,9.0,33692.0,27755.0,179.0,1901.0,429.0,65.0,0.0,0.0,1192.0,886.0,94.0,25.0,36.0,3.0,2187190
21,963194.0,20052.0,582821.0,423697.0,49220.0,20854,237.0,196.0,206.0,11.0,31663.0,26233.0,137.0,2002.0,457.0,70.0,0.0,0.0,1198.0,892.0,109.0,40.0,39.0,6.0,2123334
